plot,stage,diameter_mm,height_cm
502E,51,2,40.64
502E,45,3,48.26
502E,47,1.2,43.18
502E,49,1,29.21
502E,53,1.4,39.37
502E,59,2.6,74.93
502E,49,1.8,38.1
502E,51,1.7,29.21
502E,55,1.9,45.72
502E,45,2.1,33.02
502E,53,1.4,40.64
502E,47,1.4,30.48
502E,45,1.7,29.21
502E,47,1.5,20.32
502E,47,3,48.26
502E,55,2.5,45.72
502E,49,2.7,48.26
502E,45,1.8,27.94
502E,45,0.5,17.78
502E,49,2.4,43.18
502E,45,1,17.78
502E,47,2.5,53.34
502E,51,2.4,50.8
502E,55,2.1,63.5
502E,47,2.3,36.83
502E,51,1.3,30.48
502E,47,1.9,35.56
502E,55,3,48.26
502E,53,3.1,64.77
502E,51,1.7,33.02
502E,45,1.9,33.02
502E,47,2.3,35.56
502E,49,2,45.72
502E,47,2,33.02
502E,57,2.5,68.58
502E,59,2.6,48.26
502E,45,1.4,30.48
502E,47,1.9,40.64
502E,59,1.4,33.02
502E,57,1.7,60.96
502E,53,2.1,45.72
502E,49,2,53.34
502E,49,2.3,45.72
502E,51,1.3,35.56
502E,forgot,1.4,44.45
502E,forgot,2.4,38.1
502E,forgot,2,53.34
502E,45,3,58.42
502E,53,1.7,48.26
502E,47,1,25.4
502E,45,1.5,22.86
502E,47,1.2,35.56
502E,51,1.7,48.26
502E,53,3,55.88
502E,41,1.1,20.32
502E,49,1.4,43.18
502E,51,2,48.26
502E,45,1.4,26.67
502E,na,na,10.16
502E,59,2.4,54.61
502E,59,1.7,43.18
502E,49,1.3,17.78
502E,51,0.9,20.32
502E,57,2.5,48.26
502E,57,1.7,33.02
503E,47,2.1,30.48
503E,57,2.3,66.04
503E,59,3,68.58
503E,49,1.1,48.26
503E,57,3.4,95.25
503E,59,1.4,58.42
503E,59,2.5,80.01
503E,59,2.5,76.2
503E,47,2.4,73.66
503E,59,1.1,58.42
503E,59,1.1,35.56
503E,55,2.4,66.04
503E,59,1.5,55.88
503E,55,2,73.66
503E,51,3.2,68.58
503E,53,3.7,62.23
503E,59,3.9,76.2
503E,57,1.7,60.96
503E,53,0.9,27.94
503E,59,1.3,54.61
503E,57,2.6,78.74
503E,55,1,34.29
503E,57,2.1,66.04
503E,57,3,82.55
503E,55,3,81.28
503E,49,2.3,63.5
503E,59,2.6,74.93
503E,59,3.5,86.36
503E,na,na,15.24
503E,59,1.8,68.58
503E,59,3.3,95.25
503E,55,2.6,77.47
503E,59,3.1,71.12
503E,59,3.3,95.25
503E,59,3,99.06
503E,57,3.3,88.9
503E,59,2,76.2
503E,59,3,93.98
503E,59,1.6,68.58
503E,55,2,66.04
503E,55,1.1,33.02
503E,55,1.9,55.88
503E,55,2,49.53
503E,55,2.3,71.12
503E,59,1.4,53.34
503E,59,1.4,66.04
503E,59,2.4,81.28
503E,55,1.8,63.5
503E,59,1.2,68.58
503E,59,2,73.66
503E,55,2.1,45.72
503E,53,3,72.39
503E,59,2.5,73.66
503E,59,2.1,73.66
503E,57,3.2,99.06
503E,55,1.8,68.58
503E,55,2,55.88
503E,59,1.9,54.61
503E,45,2.3,38.1
503E,51,2,81.28
503E,na,na,22.86
503E,na,na,22.86
503E,55,1.4,43.18
503E,59,2.4,71.12
503E,49,1.2,45.72
503E,57,1.4,60.96
503E,59,1.1,33.02
503E,57,3,93.98
503E,51,2.7,73.66
503E,59,2.4,71.12
503E,59,2.6,86.36
503E,55,1.7,44.45
503E,53,1.6,45.72
503E,59,1.6,58.42
503E,49,1.7,53.34
503E,55,2.3,67.31
503E,59,1.9,46.99
503E,59,2,78.74
503E,57,3,87.63
503E,59,3.1,88.9
503E,55,1,33.02
503E,53,0.9,48.26
503E,55,17,33.02
